Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
BR1,Room,-,..,..,..,..,..
BR1,Studio,10,777,750,750,813,850
BR1,One Bedroom,90,"1,055",975,"1,000","1,050","1,150"
BR1,Two Bedrooms,160,"1,275","1,150","1,175","1,273","1,400"
BR1,Three Bedrooms,60,"1,563","1,363","1,388","1,550","1,695"
BR1,Four or More Bedrooms,20,"2,470","2,000","2,000","2,275","3,050"
BR2,Room,-,..,..,..,..,..
BR2,Studio,-,..,..,..,..,..
BR2,One Bedroom,70,"1,018",925,950,"1,000","1,100"
BR2,Two Bedrooms,170,"1,311","1,200","1,223","1,300","1,400"
BR2,Three Bedrooms,60,"1,671","1,475","1,500","1,600","1,800"
BR2,Four or More Bedrooms,30,"2,417","1,700","1,850","2,000","2,700"
BR3,Room,10,554,442,442,550,700
BR3,Studio,10,790,750,750,800,850
BR3,One Bedroom,170,997,950,950,"1,000","1,033"
BR3,Two Bedrooms,200,"1,276","1,200","1,200","1,298","1,350"
BR3,Three Bedrooms,60,"1,650","1,500","1,500","1,600","1,760"
BR3,Four or More Bedrooms,20,"2,371","1,900","1,900","2,100","2,750"
BR4,Room,0,.,.,.,.,.
BR4,Studio,-,..,..,..,..,..
BR4,One Bedroom,10,919,850,885,900,950
BR4,Two Bedrooms,20,"1,181","1,100","1,150","1,150","1,250"
BR4,Three Bedrooms,10,"1,650","1,650","1,700","1,750","1,800"
BR4,Four or More Bedrooms,10,"2,211","2,100","2,100","2,150","2,250"
BR5,Room,0,.,.,.,.,.
BR5,Studio,-,..,..,..,..,..
BR5,One Bedroom,20,965,850,850,963,"1,025"
BR5,Two Bedrooms,70,"1,112","1,000","1,000","1,108","1,220"
BR5,Three Bedrooms,50,"1,447","1,300","1,350","1,400","1,560"
BR5,Four or More Bedrooms,10,"1,946","1,825","1,850","1,925","2,000"
BR6,Room,0,.,.,.,.,.
BR6,Studio,10,701,650,655,668,770
BR6,One Bedroom,60,"1,004",900,950,"1,019","1,100"
BR6,Two Bedrooms,80,"1,191","1,100","1,100","1,200","1,300"
BR6,Three Bedrooms,50,"1,564","1,475","1,500","1,560","1,700"
BR6,Four or More Bedrooms,50,"2,067","1,800","1,875","1,975","2,200"
BR7,Room,0,.,.,.,.,.
BR7,Studio,0,.,.,.,.,.
BR7,One Bedroom,20,917,875,885,900,950
BR7,Two Bedrooms,50,"1,402","1,180","1,215","1,350","1,500"
BR7,Three Bedrooms,30,"1,742","1,600","1,600","1,700","1,750"
BR7,Four or More Bedrooms,30,"2,849","1,950","2,000","2,500","3,250"
BR8,Room,0,.,.,.,.,.
BR8,Studio,0,.,.,.,.,.
BR8,One Bedroom,0,.,.,.,.,.
BR8,Two Bedrooms,0,.,.,.,.,.
BR8,Three Bedrooms,-,..,..,..,..,..
BR8,Four or More Bedrooms,0,.,.,.,.,.
CM13,Room,0,.,.,.,.,.
